first_name,last_name,birth_date,hire_date
Navin,Conia,8/10/1955,6/23/1988
Takushi,Sooriamurthi,6/20/1952,11/13/1986
Moti,Muniz,4/21/1953,4/20/1985
Gaetan,Gadepally,4/10/1952,7/31/1985
LiMin,McDermid,7/25/1953,6/5/1985
Domenico,Ohori,9/22/1952,6/19/1986
Parke,Chinin,5/15/1955,6/8/1986
Filipp,Bale,3/8/1953,9/9/1987
Magy,Keustermans,7/13/1955,8/25/1985
Roddy,Saoudi,10/20/1954,5/4/1988
Takushi,Swist,9/2/1952,10/15/1988
Mang,Crooks,7/26/1953,8/19/1987
Reuven,Strandh,7/6/1954,8/5/1988
Kendra,Scharstein,8/25/1954,4/26/1985
Martien,Picht,3/7/1954,12/17/1988
Mingdong,Muntz,10/28/1955,7/7/1985
Godehard,Schnelling,4/4/1953,8/7/1988
Horward,Piazza,4/7/1954,10/27/1987
Nidapan,Rodham,7/12/1952,1/1/1987
Chirstian,Rando,7/5/1953,4/5/1987
Kshitij,Ramsay,3/26/1954,2/11/1985
Ramya,Bojadziev,2/1/1953,12/3/1987
Rafael,Cmelik,10/30/1954,11/15/1987
Ortrun,Shobatake,3/19/1954,9/9/1988
Jouni,Gerteisen,12/14/1952,6/3/1985
Shahid,Erdi,6/24/1953,5/9/1988
Niclas,Eastman,11/28/1952,6/24/1988
Mizuhito,Morrey,9/29/1952,7/16/1985
Adel,Panwar,12/5/1953,10/5/1988
Sadegh,Taubman,12/27/1952,5/27/1988
Genki,Cusworth,2/24/1952,7/8/1985
Kish,Karcich,9/15/1952,11/22/1986
Lucien,Maquelin,9/9/1953,2/19/1986
Theirry,Bahr,12/22/1954,12/24/1985
Shunichi,Ozery,2/24/1955,12/20/1987
Murthy,Engberts,6/8/1953,7/24/1985
Adamantios,Oaver,5/30/1955,11/6/1986
Chaosheng,Heering,7/18/1954,8/22/1985
Shin,Edelhoff,1/10/1953,8/26/1986
Reinhard,Binding,8/28/1954,5/1/1986
Kwangsub,Linnainmaa,12/7/1955,10/14/1985
Rafail,Peyn,5/24/1955,5/28/1986
Subhada,Waymire,6/27/1952,7/10/1987
Yolla,Ermel,10/8/1953,8/31/1988
Geoff,Lueh,6/9/1953,8/1/1985
Yoshinari,Codenie,11/27/1952,4/25/1985
Kristina,Khamsi,6/21/1955,8/22/1987
Heekeun,Stille,4/22/1954,12/24/1985
Divier,Knightly,11/25/1953,9/7/1987
Khatoun,Chleq,4/11/1953,11/21/1985
Adel,Pokrovskii,4/7/1955,6/6/1985
Maya,Asser,12/27/1955,11/15/1986
Eran,Fioravanti,12/14/1955,11/9/1987
Dinah,Valette,3/19/1953,4/28/1985
Sumant,Takkinen,7/18/1954,6/18/1985
Aron,Flanders,10/10/1955,4/19/1985
Alassane,Bernatsky,4/14/1953,11/5/1988
Danil,Comyn,7/10/1953,12/20/1987
Arif,Thimonier,7/14/1954,2/13/1985
Jinya,Paludetto,9/5/1955,9/11/1985
Nishit,Ranta,11/28/1954,3/31/1988
Dharmaraja,Muntz,10/19/1954,12/11/1985
Radhia,Kaminger,2/11/1955,9/9/1988
Kristine,Sessa,7/10/1955,12/29/1988
Selwyn,Krzyzanowski,8/30/1952,10/18/1988
Herb,Paciorek,7/27/1952,1/16/1988
Arne,Madeira,7/6/1952,11/25/1986
Erzsebet,Kohling,6/3/1952,12/17/1987
Yefim,Gimarc,5/5/1955,6/23/1988
Kiyomitsu,Munck,10/7/1953,9/16/1986
Florian,Sadowski,10/18/1954,2/20/1986
Prodip,Sifakis,5/13/1952,2/12/1988
Jeong,Kenevan,10/13/1955,3/21/1986
Pranjal,Pepe,10/7/1952,3/28/1985
Neelam,Kulisch,3/28/1954,12/8/1986
Yuichiro,Pardalos,3/1/1952,9/23/1988
Xiaobin,Pocchiola,1/16/1953,3/19/1986
Mingsen,Kitai,8/10/1952,2/15/1986
Maja,Encarnacion,4/19/1953,6/2/1986
Kasturi,Asser,8/31/1952,12/5/1987
JoAnne,Maquelin,8/26/1953,3/12/1987
Sahrah,Roohalamini,1/28/1953,2/7/1985
Goa,Kugler,1/26/1954,9/28/1987
Shooichi,McClure,8/10/1955,8/15/1985
Elzbieta,Kruskal,4/12/1955,7/14/1986
Laurentiu,Vasanthakumar,12/31/1953,7/19/1987
Jianhao,Kusakari,10/7/1953,7/21/1986
Dannz,Bondorf,12/21/1955,6/2/1985
Lena,McAffer,9/18/1954,5/14/1987
Lucian,Christ,5/13/1955,8/23/1986
Marin,Roisin,5/3/1953,5/28/1988
Sachem,Brandsma,5/2/1953,4/8/1985
Aral,Rosenbaum,3/7/1952,7/11/1988
Gennady,Pfau,12/13/1954,8/14/1986
Matt,Avouris,1/7/1953,10/21/1985
Izaskun,Morton,3/27/1953,5/21/1988
Ramachenga,Nourani,10/24/1955,4/18/1988
Tsutomu,Kalafatis,4/9/1953,9/18/1986
Masadi,Brobst,4/17/1955,3/22/1986
Ronghao,Antonisse,5/16/1952,6/21/1985
Atilio,Magliocco,11/28/1954,7/9/1987
Phuoc,Ertl,12/16/1953,6/18/1987
Bojan,Zedlitz,7/13/1953,3/7/1987
Greger,Thummel,11/28/1953,11/16/1987
Wanqing,Burnard,7/25/1955,2/4/1988
Jiafu,Cronin,6/3/1954,6/18/1986
Kristof,Pusterhofer,6/10/1953,12/4/1988
Berni,Olano,8/25/1952,12/23/1986
Murthy,Gini,4/3/1952,4/18/1985
Zeljko,Yamaashi,11/24/1952,4/7/1988
Sungwon,Reinhard,12/14/1952,2/3/1988
Shai,Gelosh,11/13/1952,3/30/1986
Rosita,Baba,5/22/1953,7/17/1987
Unal,Baranowski,2/23/1952,10/8/1986
Indrajit,Huttel,6/2/1954,5/23/1985
Lakshmi,Linnainmaa,4/19/1952,4/24/1986
Leon,Bugaenko,2/23/1954,3/28/1986
Muzhong,Gimarc,7/13/1952,5/13/1985
Sorina,Tiemann,4/26/1955,7/25/1985
Shirish,Krzyzanowski,4/6/1955,1/31/1986
Krisda,Koblick,4/30/1954,12/24/1986
Toong,Mandelberg,12/18/1952,4/7/1988
Yannis,Aloisi,5/26/1953,11/7/1986
Srinidhi,Restivo,6/16/1953,7/17/1986
Shiv,Reghbati,8/20/1955,12/1/1988
Kensyu,Thiran,8/16/1955,9/28/1988
Dharmaraja,Valtorta,6/8/1953,12/2/1988
Hironoby,Chiola,2/6/1952,3/7/1986
Miquel,Malabarba,4/7/1955,6/23/1988
Kazuhiko,Matheson,4/19/1953,2/21/1985
Zeydy,Juneja,4/19/1952,7/25/1987
Parke,Cyre,1/14/1953,3/29/1987
Kiyomitsu,Vuskovic,4/12/1954,9/10/1987
Amstein,Sankaranarayanan,2/10/1954,2/7/1985
Jayesh,Azevdeo,5/20/1952,5/18/1988
Mototsugu,Senzako,2/18/1954,4/24/1986
Srinidhi,Candan,12/11/1952,3/7/1988
Caolyn,Nitsch,7/28/1953,6/10/1987
Lene,Vuskovic,3/12/1954,8/10/1986
Yongqiao,Atchley,1/30/1954,6/23/1986
Djenana,Blokdijk,10/27/1952,7/15/1985
Miquel,Byoun,3/11/1952,6/26/1988
Xiadong,Maccarone,10/19/1955,2/2/1988
Jayesh,Vasanthakumar,8/15/1954,6/15/1986
Xiaocheng,Reinhart,11/4/1955,1/19/1988
Jianhao,Templeman,4/27/1952,10/20/1987
Vishv,Hmelo,7/13/1953,5/26/1988
Toshiki,Coors,2/26/1953,3/12/1987
Masasuke,Crelier,3/29/1954,10/31/1987
Feiyu,Menyhert,2/4/1954,11/7/1986
Adit,Perl,3/5/1952,9/1/1987
Peer,Kulisch,7/3/1953,8/11/1988
Hsiangchu,Jenevein,1/31/1954,4/28/1987
Rimli,Akazan,9/30/1954,10/28/1988
Shay,Sury,2/10/1954,6/28/1988
Pradeep,Plessier,12/24/1953,6/4/1985
Sumant,Giaccio,8/8/1952,3/31/1988
Siamak,Jayawardene,4/15/1952,9/12/1987
Shigenori,Kampfer,8/6/1955,1/10/1987
Youjian,Pettis,10/19/1952,7/8/1985
Keiichiro,Comellas,12/8/1952,4/29/1988
Eric,Limongiello,12/5/1952,7/8/1987
Houman,Ishibashi,8/5/1953,12/29/1986
Snehasis,Matzen,9/3/1952,10/18/1986
Ewing,Hiroyama,6/22/1955,7/10/1988
LiMin,McFarlan,12/1/1955,9/20/1985
Bluma,Gini,10/27/1952,10/19/1986
Janalee,Oehlmann,1/13/1954,12/23/1988
Quingbo,Hofstetter,11/7/1952,9/16/1985
Goncalo,Manders,8/3/1954,7/16/1988
Haldon,Gajiwala,4/22/1954,10/17/1987
Ziva,Bonifati,3/26/1952,4/7/1988
Marie,Rijckaert,1/26/1954,1/16/1986
JoAnna,Rosaz,7/29/1953,11/3/1988
Chandrasekaran,Tokunaga,12/20/1954,6/30/1987
Chirstian,Reistad,7/22/1955,10/27/1987
Divier,Bierman,5/18/1953,7/11/1987
Gilbert,Cyne,9/28/1953,3/20/1988
Chuanyi,Shrader,1/13/1953,4/15/1987
Naftali,Perko,12/8/1952,1/12/1987
Gou,Rosiles,3/20/1955,3/2/1988
Arra,Ranta,10/16/1953,1/5/1987
Patricio,Farrel,2/10/1952,12/6/1987
Marlo,Hegner,4/21/1954,2/11/1988
Macha,Chartres,10/29/1953,2/24/1986
Xuedong,Anandan,3/25/1954,2/5/1987
Gritta,Ranst,7/18/1953,4/29/1986
Gurbir,Sigstam,3/28/1955,3/15/1988
Guadalupe,Clemencon,5/1/1955,11/3/1985
Lillian,Zizka,12/9/1952,12/9/1987
Berry,Ozeki,12/23/1954,12/31/1987
Shushma,Gargeya,4/21/1954,4/19/1987
Jeong,Potthoff,12/14/1953,6/14/1985
Vincent,Shumilov,8/2/1953,3/4/1987
Satoru,Teitelbaum,11/14/1955,2/10/1988
Toshimitsu,Sury,5/29/1952,8/25/1986
Willard,Pelc,7/5/1953,2/12/1986
Khatoun,Fadgyas,2/7/1952,4/15/1988
Basil,Turnbull,12/1/1955,6/17/1985
Katsuyuki,Uchoa,6/26/1954,7/30/1988
Hisao,Iisaka,4/5/1954,3/31/1985
Berry,Frolund,3/14/1952,2/21/1987
Badri,Kandlur,2/3/1955,7/14/1985
Xiong,Ariola,8/10/1952,9/13/1986
Nevin,Fandrianto,11/23/1953,11/3/1985
Keung,Bernini,10/29/1953,7/27/1988
Sachio,Asrin,1/16/1953,11/23/1988
Subbu,Bellone,9/19/1953,6/21/1986
Duke,Baumann,8/25/1955,12/6/1985
Arno,Kermarrec,7/24/1953,11/17/1986
Chaoyi,Cichocki,3/3/1955,4/14/1986
Van,Erdi,9/8/1952,10/25/1988
Sachem,Mitsuhashi,9/8/1955,11/27/1986
Nidapan,Montresor,12/29/1952,10/22/1987
Ortrun,Castellani,12/13/1954,5/12/1987
Chaosheng,Lampe,3/2/1953,5/17/1985
Kiam,Ulupinar,4/11/1954,9/2/1985
Dannz,Keirsey,4/19/1955,12/8/1988
Chandrasekaran,Ellozy,2/2/1953,3/10/1985
Rosalyn,Attimonelli,9/1/1955,7/24/1988
Xinan,Lunt,11/17/1954,7/3/1985
Alagu,Matzen,3/21/1953,8/26/1987
Mototsugu,Mukaidono,9/12/1954,9/4/1987
Ingemar,Karlin,8/19/1954,9/3/1985
Nidapan,Petersohn,12/16/1954,2/24/1985
Pranay,Alpin,2/25/1953,10/3/1985
Zhongwei,Ebeling,9/3/1952,7/16/1987
Yuuichi,Lorys,1/13/1954,8/10/1985
Ulises,Gustavson,9/10/1952,10/12/1985
Arve,Junot,7/23/1952,10/1/1988
Xiadong,Ciolek,8/27/1953,4/13/1987
Suebskul,Rijsenbrij,4/23/1953,5/26/1986
Vivian,Orlowski,10/19/1955,2/27/1987
Abdulah,Frezza,9/22/1953,2/15/1988
Sadun,Papsdorf,2/18/1955,3/12/1986
Tru,Solares,2/18/1953,7/1/1985
Venkatesan,Merks,10/8/1953,9/6/1987
Kshitij,Cannane,11/28/1952,6/13/1985
King,Gihr,3/20/1955,4/16/1986
Oscal,Kulisch,11/15/1952,3/25/1985
Yishay,Menhardt,8/28/1955,8/24/1985
Remko,Ghemri,5/30/1952,1/14/1988
Mizuhito,Puppo,8/8/1955,12/20/1987
Serif,Frolund,4/30/1952,1/8/1988
Conal,Zolotykh,10/13/1953,5/27/1987
Barna,Ghalwash,1/16/1954,7/5/1985
Shaibal,Asmuth,11/13/1955,11/14/1988
Constantijn,Reinhard,6/9/1955,11/1/1986
Sashi,Przulj,3/22/1954,12/5/1985
Fumitaka,Rohrbach,12/24/1953,2/25/1988
Shounak,Erdmenger,4/29/1952,3/24/1988
Ranan,Stranks,11/26/1955,2/17/1988
Barry,Emmart,5/10/1952,10/3/1988
Koldo,Lamparter,1/19/1954,3/14/1986
Radoslaw,Lund,10/31/1954,7/2/1987
Uta,Apsitis,6/18/1953,7/27/1986
Gennady,Vakili,3/12/1954,3/10/1987
Aluzio,McConalogue,11/9/1952,1/26/1987
Dzung,Klyachko,9/15/1952,1/19/1988
Masasuke,Rohrbach,1/22/1955,6/9/1985
Troy,Pepe,2/9/1953,8/19/1985
Nectarios,Cherinka,11/11/1953,2/23/1987
Yurij,Pena,10/7/1953,2/22/1988
Nitsan,Pocchiola,8/30/1953,10/15/1986
Marsha,Magliocco,7/23/1952,6/3/1986
Masoud,Coullard,8/31/1954,4/20/1988
Elgin,Terlouw,11/29/1952,7/18/1986
Nadjib,Luiz,11/27/1955,5/30/1986
Lorien,Bednarek,3/12/1955,11/27/1986
Tesuya,Conta,11/25/1954,3/22/1986
Kerhong,Jenevein,6/9/1955,4/12/1988
Gennady,Marrakchi,6/1/1953,5/6/1986
Heon,Denos,9/17/1955,9/22/1988
Saddek,Gerteisen,7/14/1952,1/24/1986
Ravishankar,Randi,2/14/1953,12/23/1987
Bikash,Straney,12/29/1954,4/15/1987
Hidde,Merli,4/22/1955,12/27/1986
Paloma,Antonakopoulos,10/4/1953,2/18/1987
Feixiong,Hartvigsen,11/24/1952,5/20/1986
Padma,Zaccaria,12/20/1953,11/18/1988
Nevin,Wuwongse,8/28/1952,8/21/1987
Sastry,Coullard,3/15/1955,3/4/1986
Barry,Daescu,4/1/1954,2/19/1987
Matk,Cooke,10/12/1954,4/2/1987
Ranan,Gunderson,3/6/1955,11/21/1986
Fei,Liedekerke,4/28/1952,7/28/1986
Martial,Lieberherr,12/22/1952,6/23/1988
Jayesh,Wursthorn,3/21/1954,10/23/1988
Hideo,Grospietsch,1/25/1954,10/20/1987
Hein,Sigstam,2/17/1954,11/6/1988
Stabislas,Cools,6/15/1952,12/19/1986
Gererd,Narlikar,10/10/1953,5/26/1985
Chaosheng,Vernadat,11/11/1955,12/27/1985
Mountaz,Iwayama,11/23/1952,9/25/1988
Otilia,Ranta,12/4/1954,11/14/1985
Mohammad,Anger,6/12/1952,5/6/1987
Guozhong,Polajnar,4/13/1955,3/30/1987
Matk,Bernini,9/3/1953,2/22/1985
Sedat,Conia,12/21/1955,4/12/1986
Aris,Hinsberger,6/8/1953,1/8/1986
Tamiya,Rajcani,1/12/1955,5/13/1988
Zhiwei,Gargeya,1/14/1954,3/8/1986
Akhilish,Coombs,12/1/1953,2/16/1986
Martial,Penn,2/2/1953,4/20/1985
Sanjit,Gadepally,7/2/1954,1/8/1987
Trygve,Albarhamtoshy,6/11/1954,12/21/1988
Mohd,Schahn,8/24/1952,8/1/1988
Srinidhi,Siksek,1/26/1955,9/14/1986
Isamu,Silva,4/4/1952,1/19/1987
Subhada,Kalloufi,12/19/1953,6/17/1987
Denny,Kalafatis,8/11/1955,1/20/1986
Shuzo,Hmelo,2/14/1954,5/16/1988
Pradeep,Kushner,7/29/1954,4/16/1987
Jagoda,Reutenauer,7/22/1954,7/25/1985
Heather,Henseler,7/26/1953,12/24/1986
Kamakshi,Merey,3/2/1952,5/1/1986
Abdelkader,Birta,7/7/1955,9/13/1987
Stevo,Barbanera,2/8/1955,4/6/1987
Fabrizio,Businaro,12/25/1955,7/27/1985
Tuval,Kavvadias,9/27/1952,6/6/1987
Mohua,Rubsam,6/7/1954,4/4/1988
Aram,Syrzycki,12/11/1955,7/7/1986
Naftali,Penz,11/18/1954,9/28/1987
Neven,Savasere,6/16/1952,6/5/1986
Byong,Aloia,8/10/1955,5/1/1988
Mohan,Vickson,9/1/1954,11/3/1985
Hairong,Spataro,8/13/1953,7/23/1985
Mingdong,Trystram,12/12/1952,6/3/1987
Jixiang,Bernini,5/25/1955,10/19/1988
Malu,Msuda,3/26/1954,4/8/1986
Weiyi,Ranft,8/12/1954,12/12/1986
Florian,Isard,5/25/1955,5/6/1986
Alagu,Randt,7/16/1955,9/1/1987
Jinpo,Boissier,7/2/1952,8/17/1985
JoAnne,Caine,10/4/1952,10/15/1986
Kensei,Honiden,8/13/1955,10/4/1988
Edwin,Unno,5/4/1952,1/22/1988
Goo,Domenig,3/18/1955,3/11/1987
Valeri,Kenevan,4/28/1952,3/24/1987
Sergi,Rodham,4/21/1954,11/2/1986
Fabrizio,DuBourdieux,11/16/1954,7/14/1988
Tetsurou,Fadgyas,11/22/1955,6/21/1986
Ipke,Tasistro,2/24/1955,10/1/1985
Weiyi,Couchot,7/13/1953,2/16/1986
Pragnesh,Kumaresan,4/1/1954,12/13/1988
Ugo,Thambidurai,4/5/1955,5/31/1985
Saddek,Debuse,1/1/1955,10/28/1988
Tsuneo,Gunderson,11/16/1954,12/16/1985
Leen,Vakili,11/18/1953,10/9/1985
Murthy,Huhdanpaa,12/27/1952,12/7/1986
Jasminko,Gill,11/21/1952,2/7/1988
Zine,Raney,11/16/1953,5/10/1986
Remko,Pezzoli,6/25/1953,1/16/1987
Chaitali,Sabnani,4/14/1952,10/26/1985
Geoffrey,Benantar,12/25/1953,5/10/1985
Zhenbing,Bahl,11/5/1955,7/30/1985
Ramzi,Schade,5/25/1954,7/14/1986
Dhritiman,Jervis,9/12/1953,8/7/1987
Sanjay,Georgakopoulos,5/14/1953,3/26/1985
Masoud,Ossenbruggen,1/25/1955,1/26/1988
Dekang,Shiratori,9/23/1952,9/22/1985
Odoardo,Fujisaki,5/24/1955,8/30/1986
Koldo,Vingron,10/19/1955,9/8/1988
Kazuhide,Speckmann,6/25/1955,10/3/1988
Chanjung,Penn,12/15/1954,2/23/1988
Alenka,Leppanen,6/7/1952,9/2/1985
Sajjan,Bernardinello,1/10/1955,12/12/1988
Arun,Huhdanpaa,1/29/1953,6/13/1985
Kousuke,Brookner,5/15/1952,1/19/1986
Giap,Christianini,9/16/1955,10/16/1988
Ziyad,Gecsei,2/4/1953,3/9/1986
Taegyun,Zaumen,7/23/1954,12/25/1985
Kinh,Perz,11/17/1952,10/11/1988
Stabislas,Siksek,12/15/1953,1/4/1986
Mari,Attimonelli,10/16/1952,4/19/1987
Lansing,Skrikant,10/21/1952,12/8/1988
Mong,Sidhu,9/3/1953,7/19/1985
Harjit,Kermarrec,11/6/1952,7/2/1987
Bader,Ozeri,10/8/1953,10/25/1986
Arunachalam,Tiemann,6/8/1952,10/13/1985
Kersti,Bahk,1/9/1953,7/9/1988
Parviz,Lieblein,3/6/1953,1/21/1987
Mandell,Gammage,11/3/1952,7/4/1986
Jianhua,Bardell,12/11/1953,11/23/1987
Mohd,Buchter,2/3/1952,3/16/1986
Conor,Claffy,9/20/1953,10/11/1987
Surveyors,Beerel,12/3/1955,11/18/1985
Serenella,Litvinov,8/21/1955,5/24/1985
Anyuan,Facello,4/13/1955,10/4/1988
Shahaf,Basart,1/20/1955,7/12/1985
Chenxi,Narwekar,7/17/1955,3/11/1986
Martine,Pileggi,9/15/1954,7/10/1986
Fun,Ranta,12/18/1954,4/23/1988
Christophe,Sury,3/28/1954,7/21/1985
Yaghout,Swick,1/25/1954,11/17/1986
Zhaofang,Setia,10/26/1955,2/24/1986
Mohua,Kaltofen,10/11/1954,2/11/1986
Abdelaziz,Hofman,10/24/1952,4/24/1985
Margareta,Szmurlo,5/23/1952,8/10/1988
Claude,Highland,10/29/1953,10/21/1988
Nalini,Sadowsky,12/24/1954,9/7/1988
Stamatina,Gulak,8/28/1955,11/19/1986
Garnet,Leppanen,3/4/1953,10/14/1985
Tzvetan,Bashian,9/1/1953,4/14/1987
Martine,Lanteri,10/25/1953,2/24/1988
Honglan,Rosin,5/19/1952,2/10/1987
Pranas,Snedden,9/24/1952,12/19/1985
Kenroku,Benveniste,1/7/1954,1/26/1988
Yucai,Range,6/7/1953,9/4/1985
Xumin,Cummings,8/29/1954,6/3/1988
Mitsuyuki,Mitsuhashi,5/19/1955,11/15/1988
Georg,Onuegbe,3/3/1953,9/8/1988
Inderjeet,Tsukuda,9/29/1953,10/18/1986
Marke,Bratten,6/22/1955,6/20/1985
Bernt,Dehkordi,8/25/1955,10/7/1986
Kannan,Cangellaris,5/2/1955,7/3/1986
Baruch,Peris,2/6/1952,10/26/1987
Chandrasekaran,Loncour,3/24/1955,6/26/1986
Itzchak,Wolniewicz,11/2/1953,12/19/1988
Bodh,Merli,2/16/1953,6/22/1987
Maria,Tiemann,7/7/1955,7/6/1988
Lillian,Takanami,9/22/1953,8/4/1986
Hairong,DiGiano,11/2/1952,9/1/1988
Ebru,Ravishankar,6/10/1952,3/25/1986
Randy,Nitsch,4/3/1955,10/26/1986
Vitaly,Haumacher,11/20/1953,8/21/1987
Geraldo,Jenevein,11/27/1955,3/29/1985
Yongdong,Hellwagner,11/2/1953,10/30/1987
Remzi,Hoppenstand,1/16/1955,12/13/1988
Abdelghani,Karner,9/29/1952,7/19/1986
Leucio,Remmele,9/6/1954,5/27/1987
Ioana,Ventosa,1/25/1953,8/23/1988
Kristian,Angelopoulos,2/2/1955,5/17/1987
Chirstian,Magalhaes,3/13/1953,2/3/1987
Gal,Sabnani,12/11/1953,7/2/1988
Lokesh,Brlek,2/15/1952,11/28/1986
Conal,Uehara,6/21/1953,12/15/1985
Sanjoy,Maraist,4/21/1954,9/13/1987
Yucel,Dymetman,9/4/1955,5/7/1987
Berna,Dulay,8/30/1955,9/16/1988
Rafols,Masamoto,11/11/1955,10/25/1988
Dipankar,Nanard,3/5/1952,10/27/1986
Gay,Tsukune,11/21/1953,8/22/1987
Neven,Hambrick,2/15/1953,8/25/1986
Jeanne,Merks,10/31/1953,3/27/1988
Jouko,Hellwagner,2/3/1954,1/15/1986
Sailaja,Gustavson,10/20/1952,7/16/1986
Naftaly,Jeong,12/26/1952,10/9/1986
Heng,Zirintsis,5/12/1954,11/18/1985
Chrisa,Jervis,11/8/1955,8/29/1985
Hausi,Pouyioutas,5/8/1954,10/2/1987
Ingemar,Thombley,4/22/1952,8/8/1988
Gritta,Larfeldt,6/9/1955,8/7/1987
Hatem,Miake,4/14/1954,11/14/1985
Billie,Chleq,4/14/1952,5/5/1985
Kirk,Facello,4/25/1953,5/31/1988
Siamak,Comte,6/18/1954,7/29/1986
Sugwoo,Ballarin,9/29/1952,7/25/1988
Naftaly,Gelosh,1/7/1953,12/10/1988
Geoffrey,Sadowski,8/5/1953,1/17/1986
Ulf,Ambroszkiewicz,11/26/1955,6/18/1985
Uli,Oskamp,3/19/1952,8/25/1987
Tua,Tetzlaff,2/3/1952,12/1/1988
Danel,Garigliano,1/8/1954,9/2/1985
Renny,Wielonsky,9/12/1955,4/2/1988
Boriana,Lemarechal,4/22/1952,3/23/1986
Ioana,Gien,7/18/1954,5/18/1987
Gladys,Heusch,3/25/1952,8/8/1988
Luisa,Hofstetter,10/31/1954,5/17/1986
DeForest,Klyachko,9/26/1954,10/21/1987
Ferdinand,Grabner,5/1/1955,3/15/1986
Alselm,Janocha,12/20/1952,5/24/1986
Charlene,Montresor,12/1/1955,4/4/1985
Honesty,Morrey,12/30/1954,10/19/1987
Kazuhira,Lagarias,1/18/1955,8/7/1985
Ewing,Simkin,5/26/1955,7/5/1986
Haldon,Vuskovic,3/11/1954,8/27/1986
Ishfaq,DuBourdieux,6/2/1954,12/13/1988
Yurij,Mitchem,1/14/1953,4/10/1987
Patricia,Remmele,10/20/1954,7/11/1988
Charlene,Bodoff,3/13/1953,6/2/1987
Branimir,Conde,2/22/1954,11/12/1987
Nathan,Litzler,3/11/1954,5/21/1987
Duke,Picaronny,10/22/1955,1/15/1988
Martial,Ginesta,2/6/1954,5/17/1985
Oscar,Luke,8/7/1953,9/4/1986
Wanqing,Thambidurai,1/31/1955,12/9/1988
Adib,Kornyak,3/27/1953,8/23/1985
Tesuro,Fioravanti,5/4/1952,8/17/1988
Anyuan,Stifter,11/25/1955,10/7/1988
DeForest,Rullman,7/19/1955,5/2/1985
Vasilis,Ozeki,5/18/1955,6/13/1986
Sudharsan,Pfau,5/26/1953,4/26/1986
Theirry,Hinsberger,4/17/1955,12/5/1986
Maja,Terlouw,6/15/1952,2/6/1986
Lenore,Schaad,6/11/1953,11/23/1987
Xiaoqiu,Zwicker,11/24/1952,11/23/1987
Shigeu,Kalloufi,4/2/1952,5/5/1986
Almudena,DasSarma,3/9/1953,1/12/1986
Qunsheng,Perna,1/4/1954,9/28/1988
Martins,Ermel,3/28/1953,8/1/1987
Tianruo,Hockney,7/5/1955,8/5/1987
Basim,Dredge,12/3/1952,12/25/1987
Ebru,Broomell,12/23/1954,7/31/1986
Girolamo,Orlowska,8/29/1952,8/18/1987
Ebbe,Matzov,8/3/1952,7/3/1987
Xumin,Swift,9/7/1954,9/25/1985
Tayeb,Yamaashi,5/12/1955,10/10/1986
Kazunori,Gustavson,11/5/1952,4/13/1987
Saniya,Einsfeld,4/7/1953,5/21/1985
Keiichiro,Birnbaum,9/24/1952,5/3/1988
Tsutomu,Chinin,11/28/1952,9/30/1986
Zhonghua,Parveen,1/20/1955,3/2/1988
Thanasis,Clemencon,5/27/1953,11/14/1987
Christophe,Baer,11/10/1952,3/20/1985
Mona,Genin,6/3/1952,9/1/1985
Salvador,Tzvieli,4/14/1952,7/19/1988
Claude,Cherinka,12/5/1954,4/14/1986
Geoff,Ranon,5/19/1953,2/21/1988
Tomoyuki,Lampe,10/13/1952,2/12/1988
Panayotis,Gist,10/22/1953,3/3/1988
Kristinn,Jullig,11/23/1955,11/3/1988
Kish,Fiebach,6/17/1952,6/27/1988
Wonhee,Chaudhuri,9/10/1955,4/5/1985
Martine,Pokrovskii,3/3/1953,3/16/1985
Padma,Peyn,9/26/1952,11/28/1988
Ingemar,Eiron,12/16/1955,11/7/1986
Jaewon,Dulay,11/16/1953,2/5/1988
Charmane,Marwedel,4/25/1954,9/7/1985
Gen,Oehlmann,2/17/1954,9/2/1987
Shietung,Ranon,11/3/1954,5/7/1985
Duangkaew,Leppanen,2/4/1954,5/18/1985
Koldo,Vecchio,11/11/1953,8/3/1987
Marie,Levergood,2/28/1955,6/27/1985
Huiqun,Kroon,5/11/1952,2/23/1985
Thanasis,Chinal,11/8/1955,10/28/1986
Haldun,Veldwijk,9/10/1952,3/15/1987
Kazuhiro,Kaelbling,3/31/1954,2/28/1988
Domenick,Hanratty,1/12/1953,7/8/1988
Almudena,Hopewell,6/27/1953,8/30/1987
Jungsoon,Gist,5/27/1952,7/29/1986
Matk,Egerstedt,11/8/1954,2/18/1985
Prodip,DuBourdieux,5/30/1954,12/8/1988
Zdislav,Thombley,5/2/1953,6/30/1987
Makato,Demri,7/22/1953,4/30/1985
Mani,Ranta,6/11/1952,6/25/1985
Kenton,Hegner,12/11/1952,7/30/1987
Hironoby,Vadhan,4/24/1955,10/22/1987
Genki,Hitomi,12/4/1953,7/1/1986
Lucian,Cronin,9/2/1955,12/24/1987
Alejandra,Straney,1/18/1954,11/24/1986
Duri,Rotem,4/24/1954,2/21/1988
Djelloul,Pietrzykowski,11/19/1953,3/23/1988
Chanjung,Ebeling,5/22/1954,5/12/1985
Arne,Felder,12/3/1954,11/1/1988
Laurentiu,Kisuki,5/31/1953,4/30/1987
Hinrich,Fetvedt,3/21/1954,2/14/1986
Tesuro,Spell,5/2/1953,7/30/1986
